rodada,time,pontos
6,COELHOLOKOFEST,89.32
6,"Couto Azarão",71.13
6,"De Quebrada10 FC",77.97
6,"E.C TuaMãe",78.33
6,HEXEN,47.92
6,"Iron Jegue FC",51.23
6,"JHN JAMAICA 2018",82.82
6,JNBTeam,80.62
6,"L.A.R.1 Club",58.49
6,LFBoleiros,77.83
6,"Mais um ano sem título FC",71.12
6,Miister'Rei!,87.63
6,"PANKADA FC",71.68
6,"Paulinho dj",110.12
6,"RAMB006 FC",102.12
6,"ramos lm fc",71.43
6,"SEM EXPECTATIVAS F.C.",66.13
6,"SOCANDO A BUXA F.C",99.63
6,"SP - TIME GRANDE NÃO CAI",40.40
6,"Sub-100 FC",88.13
6,"Turquissimo FC",60.02
6,Ultiminho,70.12
6,Waysys,77.43
7,"3M F.",85.63
7,"amigos do maraca",72.56
7,"Baldexx FC",78.16
7,"Cambridge United Fcc",63.66
7,Canabisativa50,54.66
7,"Careca Master FC",72.50
7,"Chama no como e que chama",56.67
7,"Club Atlético Não Para",90.76
7,"CoelhoLoko F.C",84.36
7,COELHOLOKOFEST,88.46
7,"Couto Azarão",42.46
7,"De Quebrada10 FC",61.36
7,"E.C TuaMãe",74.26
7,HEXEN,43.49
7,"Iron Jegue FC",48.59
7,"JHN JAMAICA 2018",50.66
7,JNBTeam,81.36
7,"L.A.R.1 Club",51.33
7,LFBoleiros,93.64
7,"Mais um ano sem título FC",75.56
7,Miister'Rei!,77.36
7,"PANKADA FC",74.76
7,"Paulinho dj",78.46
7,"RAMB006 FC",53.06
7,"ramos lm fc",63.52
7,"SEM EXPECTATIVAS F.C.",65.28
7,"SOCANDO A BUXA F.C",97.04
7,"SP - TIME GRANDE NÃO CAI",63.55
7,"Sub-100 FC",76.66
7,"Turquissimo FC",100.39
7,Ultiminho,67.06
7,Waysys,49.84
8,"3M F.",110.62
8,"amigos do maraca",109.92
8,"Baldexx FC",103.25
8,"Cambridge United Fcc",90.06
8,Canabisativa50,123.90
8,"Careca Master FC",23.80
8,"Chama no como e que chama",104.72
8,"Club Atlético Não Para",116.62
8,"CoelhoLoko F.C",73.48
8,COELHOLOKOFEST,111.88
8,"Couto Azarão",76.65
8,"De Quebrada10 FC",52.75
8,"E.C TuaMãe",112.05
8,HEXEN,90.78
8,"Iron Jegue FC",74.98
8,"JHN JAMAICA 2018",106.70
8,JNBTeam,114.72
8,"L.A.R.1 Club",112.10
8,LFBoleiros,68.58
8,"Mais um ano sem título FC",79.50
8,Miister'Rei!,116.10
8,"PANKADA FC",73.15
8,"Paulinho dj",94.15
8,"RAMB006 FC",94.05
8,"ramos lm fc",48.05
8,"SEM EXPECTATIVAS F.C.",111.59
8,"SOCANDO A BUXA F.C",77.96
8,"SP - TIME GRANDE NÃO CAI",100.93
8,"Sub-100 FC",119.30
8,"Turquissimo FC",94.29
8,Ultiminho,120.48
8,Waysys,87.13
9,"3M F.",76.24
9,"amigos do maraca",85.72
9,"Baldexx FC",94.82
9,"Cambridge United Fcc",83.58
9,Canabisativa50,99.42
9,"Careca Master FC",13.00
9,"Chama no como e que chama",97.98
9,"Club Atlético Não Para",95.72
9,"CoelhoLoko F.C",78.74
9,COELHOLOKOFEST,112.64
9,"Couto Azarão",66.42
9,"De Quebrada10 FC",62.02
9,"E.C TuaMãe",83.25
9,HEXEN,71.46
9,"Iron Jegue FC",68.62
9,"JHN JAMAICA 2018",92.82
9,JNBTeam,116.14
9,"L.A.R.1 Club",77.74
9,LFBoleiros,85.62
9,"Mais um ano sem título FC",74.65
9,Miister'Rei!,112.99
9,"PANKADA FC",104.22
9,"Paulinho dj",59.72
9,"RAMB006 FC",67.46
9,"ramos lm fc",24.84
9,"SEM EXPECTATIVAS F.C.",81.54
9,"SOCANDO A BUXA F.C",96.16
9,"SP - TIME GRANDE NÃO CAI",44.29
9,"Sub-100 FC",103.92
9,"Turquissimo FC",121.32
9,Ultiminho,85.99
9,Waysys,92.82
10,"3M F.",84.54
10,"amigos do maraca",70.62
10,"Baldexx FC",68.72
10,"Cambridge United Fcc",74.32
10,Canabisativa50,66.42
10,"Careca Master FC",39.27
10,"Chama no como e que chama",61.12
10,"Club Atlético Não Para",76.22
10,"CoelhoLoko F.C",67.60
10,COELHOLOKOFEST,71.43
10,"Couto Azarão",69.32
10,"De Quebrada10 FC",63.92
10,"E.C TuaMãe",67.32
10,HEXEN,61.53
10,"Iron Jegue FC",62.88
10,"JHN JAMAICA 2018",59.82
10,JNBTeam,72.82
10,"L.A.R.1 Club",71.14
10,LFBoleiros,60.33
10,"Mais um ano sem título FC",74.65
10,Miister'Rei!,94.13
10,"PANKADA FC",55.22
10,"Paulinho dj",56.53
10,"RAMB006 FC",76.92
10,"ramos lm fc",32.65
10,"SEM EXPECTATIVAS F.C.",70.42
10,"SOCANDO A BUXA F.C",75.37
10,"SP - TIME GRANDE NÃO CAI",19.35
10,"Sub-100 FC",56.92
10,"Turquissimo FC",73.32
10,Ultiminho,75.12
10,Waysys,58.55
11,"3M F.",44.04
11,"amigos do maraca",107.84
11,"Baldexx FC",82.15
11,"Cambridge United Fcc",89.92
11,Canabisativa50,101.75
11,"Careca Master FC",42.50
11,"Chama no como e que chama",53.84
11,"Club Atlético Não Para",75.32
11,"CoelhoLoko F.C",73.60
11,COELHOLOKOFEST,93.71
11,"Couto Azarão",72.42
11,"De Quebrada10 FC",54.74
11,"E.C TuaMãe",87.02
11,HEXEN,70.14
11,"Iron Jegue FC",54.62
11,"JHN JAMAICA 2018",84.22
11,JNBTeam,85.61
11,"L.A.R.1 Club",75.64
11,LFBoleiros,81.52
11,"Mais um ano sem título FC",54.82
11,Miister'Rei!,98.45
11,"PANKADA FC",89.15
11,"Paulinho dj",77.91
11,"RAMB006 FC",83.75
11,"ramos lm fc",89.69
11,"SEM EXPECTATIVAS F.C.",103.95
11,"SOCANDO A BUXA F.C",96.92
11,"SP - TIME GRANDE NÃO CAI",59.62
11,"Sub-100 FC",79.25
11,"Turquissimo FC",114.51
11,Ultiminho,107.44
11,Waysys,73.82
12,"3M F.",55.93
12,"amigos do maraca",75.63
12,"Baldexx FC",98.93
12,"Cambridge United Fcc",81.13
12,Canabisativa50,70.33
12,"Careca Master FC",34.73
12,"Chama no como e que chama",87.21
12,"Club Atlético Não Para",83.13
12,"CoelhoLoko F.C",62.93
12,COELHOLOKOFEST,97.09
12,"Couto Azarão",44.63
12,"De Quebrada10 FC",60.11
12,"E.C TuaMãe",81.20
12,HEXEN,83.39
12,"Iron Jegue FC",64.83
12,"JHN JAMAICA 2018",82.41
12,JNBTeam,82.93
12,"L.A.R.1 Club",88.81
12,LFBoleiros,79.91
12,"Mais um ano sem título FC",91.83
12,Miister'Rei!,91.03
12,"PANKADA FC",96.73
12,"Paulinho dj",72.65
12,"RAMB006 FC",105.35
12,"ramos lm fc",79.94
12,"SEM EXPECTATIVAS F.C.",56.33
12,"SOCANDO A BUXA F.C",51.73
12,"SP - TIME GRANDE NÃO CAI",60.05
12,"Sub-100 FC",109.73
12,"Turquissimo FC",95.63
12,Ultiminho,91.63
12,Waysys,81.53
13,"3M F.",12.64
13,"amigos do maraca",62.66
13,"Baldexx FC",47.16
13,"Cambridge United Fcc",61.85
13,Canabisativa50,97.19
13,"Careca Master FC",66.32
13,"Chama no como e que chama",46.16
13,"Club Atlético Não Para",90.46
13,"CoelhoLoko F.C",86.39
13,COELHOLOKOFEST,92.66
13,"Couto Azarão",56.35
13,"De Quebrada10 FC",38.14
13,"E.C TuaMãe",78.59
13,HEXEN,87.85
13,"Iron Jegue FC",69.16
13,"JHN JAMAICA 2018",8.89
13,JNBTeam,81.76
13,"L.A.R.1 Club",65.25
13,LFBoleiros,59.15
13,"Mais um ano sem título FC",94.25
13,Miister'Rei!,84.86
13,"PANKADA FC",62.24
13,"Paulinho dj",36.06
13,"RAMB006 FC",54.56
13,"ramos lm fc",50.55
13,"SEM EXPECTATIVAS F.C.",50.55
13,"SOCANDO A BUXA F.C",90.46
13,"SP - TIME GRANDE NÃO CAI",67.56
13,"Sub-100 FC",88.16
13,"Turquissimo FC",90.96
13,Ultiminho,39.76
13,Waysys,52.86
14,"3M F.",107.45
14,"amigos do maraca",74.67
14,"Baldexx FC",86.36
14,"Cambridge United Fcc",84.19
14,Canabisativa50,73.77
14,"Careca Master FC",59.56
14,"Chama no como e que chama",73.95
14,"Club Atlético Não Para",94.18
14,"CoelhoLoko F.C",88.72
14,COELHOLOKOFEST,82.08
14,"Couto Azarão",54.92
14,"De Quebrada10 FC",84.86
14,"E.C TuaMãe",93.02
14,HEXEN,54.47
14,"Iron Jegue FC",32.38
14,"JHN JAMAICA 2018",73.81
14,JNBTeam,94.27
14,"L.A.R.1 Club",53.65
14,LFBoleiros,65.23
14,"Mais um ano sem título FC",72.92
14,Miister'Rei!,95.97
14,"PANKADA FC",95.39
14,"Paulinho dj",105.67
14,"RAMB006 FC",88.69
14,"ramos lm fc",41.72
14,"SEM EXPECTATIVAS F.C.",91.06
14,"SOCANDO A BUXA F.C",73.22
14,"SP - TIME GRANDE NÃO CAI",58.49
14,"Sub-100 FC",93.52
14,"Turquissimo FC",96.88
14,Ultiminho,73.29
14,Waysys,87.45
15,"3M F.",79.41
15,"amigos do maraca",38.67
15,"Baldexx FC",25.94
15,"Cambridge United Fcc",66.17
15,Canabisativa50,74.97
15,"Careca Master FC",29.34
15,"Chama no como e que chama",36.67
15,"Club Atlético Não Para",57.67
15,"CoelhoLoko F.C",65.37
15,COELHOLOKOFEST,68.47
15,"Couto Azarão",84.27
15,"De Quebrada10 FC",47.37
15,"E.C TuaMãe",65.47
15,HEXEN,76.77
15,"Iron Jegue FC",66.47
15,"JHN JAMAICA 2018",58.27
15,JNBTeam,47.87
15,"L.A.R.1 Club",62.34
15,LFBoleiros,51.01
15,"Mais um ano sem título FC",41.67
15,Miister'Rei!,62.28
15,"PANKADA FC",52.87
15,"Paulinho dj",70.97
15,"RAMB006 FC",66.57
15,"ramos lm fc",56.14
15,"SEM EXPECTATIVAS F.C.",45.77
15,"SOCANDO A BUXA F.C",33.34
15,"SP - TIME GRANDE NÃO CAI",54.02
15,"Sub-100 FC",65.07
15,"Turquissimo FC",48.47
15,Ultiminho,79.17
15,Waysys,51.51
16,"3M F.",87.64
16,"amigos do maraca",100.35
16,"Baldexx FC",47.10
16,"Cambridge United Fcc",84.40
16,Canabisativa50,76.30
16,"Careca Master FC",76.30
16,"Chama no como e que chama",60.55
16,"Club Atlético Não Para",86.40
16,"CoelhoLoko F.C",87.60
16,COELHOLOKOFEST,69.35
16,"Couto Azarão",104.00
16,"De Quebrada10 FC",69.55
16,"E.C TuaMãe",85.00
16,HEXEN,65.39
16,"Iron Jegue FC",39.88
16,"JHN JAMAICA 2018",91.35
16,JNBTeam,84.65
16,"L.A.R.1 Club",82.88
16,LFBoleiros,67.71
16,"Mais um ano sem título FC",68.04
16,Miister'Rei!,82.00
16,"PANKADA FC",71.98
16,"Paulinho dj",94.40
16,"RAMB006 FC",91.80
16,"ramos lm fc",66.05
16,"SEM EXPECTATIVAS F.C.",87.85
16,"SOCANDO A BUXA F.C",57.54
16,"SP - TIME GRANDE NÃO CAI",63.85
16,"Sub-100 FC",83.20
16,"Turquissimo FC",72.55
16,Ultiminho,78.05
16,Waysys,93.49
17,"3M F.",37.19
17,"amigos do maraca",51.99
17,"Baldexx FC",43.79
17,"Cambridge United Fcc",59.99
17,Canabisativa50,74.19
17,"Careca Master FC",29.49
17,"Chama no como e que chama",23.21
17,"Club Atlético Não Para",62.65
17,"CoelhoLoko F.C",69.49
17,COELHOLOKOFEST,46.09
17,"Couto Azarão",52.89
17,"De Quebrada10 FC",64.69
17,"E.C TuaMãe",62.19
17,HEXEN,67.05
17,"Iron Jegue FC",31.70
17,"JHN JAMAICA 2018",42.39
17,JNBTeam,63.99
17,"L.A.R.1 Club",17.20
17,LFBoleiros,59.64
17,"Mais um ano sem título FC",53.99
17,Miister'Rei!,62.69
17,"PANKADA FC",43.69
17,"Paulinho dj",44.49
17,"RAMB006 FC",31.29
17,"ramos lm fc",15.80
17,"SEM EXPECTATIVAS F.C.",65.49
17,"SOCANDO A BUXA F.C",68.64
17,"SP - TIME GRANDE NÃO CAI",52.89
17,"Sub-100 FC",55.79
17,"Turquissimo FC",57.99
17,Ultiminho,54.55
17,Waysys,55.20
18,"3M F.",51.73
18,"amigos do maraca",78.08
18,"Baldexx FC",78.27
18,"Cambridge United Fcc",80.07
18,Canabisativa50,59.33
18,"Careca Master FC",60.18
18,"Chama no como e que chama",65.77
18,"Club Atlético Não Para",93.07
18,"CoelhoLoko F.C",59.37
18,COELHOLOKOFEST,70.07
18,"Couto Azarão",71.22
18,"De Quebrada10 FC",50.27
18,"E.C TuaMãe",98.57
18,HEXEN,42.82
18,"Iron Jegue FC",57.98
18,"JHN JAMAICA 2018",63.17
18,JNBTeam,58.67
18,"L.A.R.1 Club",82.33
18,LFBoleiros,31.75
18,"Mais um ano sem título FC",50.58
18,Miister'Rei!,84.48
18,"PANKADA FC",73.77
18,"Paulinho dj",91.17
18,"RAMB006 FC",66.37
18,"ramos lm fc",54.88
18,"SEM EXPECTATIVAS F.C.",63.37
18,"SOCANDO A BUXA F.C",58.55
18,"SP - TIME GRANDE NÃO CAI",51.03
18,"Sub-100 FC",66.47
18,"Turquissimo FC",84.98
18,Ultiminho,84.57
18,Waysys,77.58
19,"3M F.",62.76
19,"amigos do maraca",40.62
19,"Baldexx FC",75.42
19,"Cambridge United Fcc",51.42
19,Canabisativa50,61.66
19,"Careca Master FC",58.00
19,"Chama no como e que chama",46.43
19,"Club Atlético Não Para",70.82
19,"CoelhoLoko F.C",64.22
19,COELHOLOKOFEST,57.22
19,"Couto Azarão",55.22
19,"De Quebrada10 FC",59.46
19,"E.C TuaMãe",61.96
19,HEXEN,56.20
19,"Iron Jegue FC",71.36
19,"JHN JAMAICA 2018",56.22
19,JNBTeam,57.42
19,"L.A.R.1 Club",39.56
19,LFBoleiros,78.39
